id,context,english
clues.hex-marks.name,"Clue name, shown in the journal and on the opportunity",[Hex-marks on the Lintel]
clues.hex-marks.prompt,Opportunity text shown before this clue is taken,"[The door-frames in this row all carry the same small scoring, cut fresh over older cuts.]"
clues.hex-marks.reveal,Journal and event-log text once this clue is revealed,"[Deliberate hex-work, cut by a steady hand that knew the figure — and cut outward, from {npc}'s house toward the rest. Beasts do not draw, and the dead do not need to.]"
clues.killed-to-be-found.name,"Clue name, shown in the journal and on the opportunity",[Killed to Be Found]
clues.killed-to-be-found.prompt,Opportunity text shown before this clue is taken,"[The body was left on the green, in the open, in the middle of the path.]"
clues.killed-to-be-found.reveal,Journal and event-log text once this clue is revealed,[Nothing was taken and nothing was hidden. It was dragged from where it fell to where it would be found first. This killing is a notice nailed to a door.]
clues.living-memory.name,"Clue name, shown in the journal and on the opportunity",[Inside Living Memory]
clues.living-memory.prompt,Opportunity text shown before this clue is taken,"[Whatever started this, someone here was alive when it did.]"
clues.living-memory.reveal,Journal and event-log text once this clue is revealed,"[They can date it. A season, a name, an argument in the road — this began inside living memory, and inherited curses do not have a date.]"
clues.materials-not-people.name,"Clue name, shown in the journal and on the opportunity","[Materials, Not People]"
clues.materials-not-people.prompt,Opportunity text shown before this clue is taken,[Take an inventory rather than a statement: what has actually gone missing this month?]
clues.materials-not-people.reveal,Journal and event-log text once this clue is revealed,"[Candle-wax, lead from the flashing, chalk, a censer, grave-earth by the sackful. Things, not people, and every one of them a component. Something is being built here.]"
clues.mine-lode.name,"Clue name, shown in the journal and on the opportunity",[The Abandoned Lode]
clues.mine-lode.prompt,Opportunity text shown before this clue is taken,[The old mine was abandoned when the vein pinched out — or so the story goes.]
clues.mine-lode.reveal,Journal and event-log text once this clue is revealed,[The story lied. Past the fallen rubble a thread of true silver still glints in the rock.]
clues.no-hex-work.name,"Clue name, shown in the journal and on the opportunity",[No Hand Behind It]
clues.no-hex-work.prompt,Opportunity text shown before this clue is taken,"[If a working were being kept up in this parish, it would leave the same marks in the same places every time.]"
clues.no-hex-work.reveal,Journal and event-log text once this clue is revealed,"[You check the lintels, the font, the threshold stones: no figures, no scoring, no working kept up anywhere. Whatever this is, no living hand is drawing it.]"
clues.nothing-for-show.name,"Clue name, shown in the journal and on the opportunity",[Nothing Done for Show]
clues.nothing-for-show.prompt,Opportunity text shown before this clue is taken,"[For all the fear in this valley, ask what anyone has actually witnessed.]"
clues.nothing-for-show.reveal,Journal and event-log text once this clue is revealed,"[Nobody has seen a thing. No display, no bodies left where the road runs, no message. Whatever this is, it is working quietly and would rather not be watched at all.]"
clues.plot-map.name,"Clue name, shown in the journal and on the opportunity",[The Plot Map]
clues.plot-map.prompt,Opportunity text shown before this clue is taken,"[A vestry drawer holds the parish plot map, annotated in a shaking hand.]"
clues.plot-map.reveal,Journal and event-log text once this clue is revealed,[The map marks every plot and names its occupant. Now you know exactly where {grave} lies.]
clues.preparation-not-appetite.name,"Clue name, shown in the journal and on the opportunity","[Preparation, Not Appetite]"
clues.preparation-not-appetite.prompt,Opportunity text shown before this clue is taken,"[The traffic to this place is regular, and regular traffic has a purpose.]"
clues.preparation-not-appetite.reveal,Journal and event-log text once this clue is revealed,"[The same trips, the same loads, the same hours — carrying in, never carrying out. This is not hunger and it is not display. It is a schedule of works.]"
clues.route-stones.name,"Clue name, shown in the journal and on the opportunity",[The Marked Route-Stones]
clues.route-stones.prompt,Opportunity text shown before this clue is taken,[There are stones set along this trail at intervals too even to be chance.]
clues.route-stones.reveal,Journal and event-log text once this clue is revealed,"[Each stone scored with the same mark, each set exactly within sight of the next — a road laid out to be followed by someone who is not deciding to follow it. This is a route, and it leads somewhere that is counting arrivals.]"
clues.second-face.name,"Clue name, shown in the journal and on the opportunity",[A Second Face]
clues.second-face.prompt,Opportunity text shown before this clue is taken,"[The villagers are eager to talk about the nights, if you let them circle to it.]"
clues.second-face.reveal,Journal and event-log text once this clue is revealed,"[The same shape to every account: somebody here keeps a second face for after dark. Which of the old horrors that means, nobody will say.]"
clues.sextons-spade.name,"Clue name, shown in the journal and on the opportunity",[The Sexton's Spade]
clues.sextons-spade.prompt,Opportunity text shown before this clue is taken,"[Grave-dust for a binding charm must be freely given, not stolen.]"
clues.sextons-spade.reveal,Journal and event-log text once this clue is revealed,[The gravedigger fills a pouch from the old consecrated rows and presses it on you. 'Sew it tight. Use it close.']
clues.shepherds-account.name,"Clue name, shown in the journal and on the opportunity",[The Shepherd's Account]
clues.shepherds-account.prompt,Opportunity text shown before this clue is taken,[The shepherds drive their flocks wide of the high pasture and will not say why.]
clues.shepherds-account.reveal,Journal and event-log text once this clue is revealed,"[The oldest shepherd finally speaks: the beast walks the tree-line at dusk, and dens in the deep wood.]"
clues.silver-candlesticks.name,"Clue name, shown in the journal and on the opportunity",[The Silver Candlesticks]
clues.silver-candlesticks.prompt,Opportunity text shown before this clue is taken,"[The altar candlesticks are old, heavy, and untarnished.]"
clues.silver-candlesticks.reveal,Journal and event-log text once this clue is revealed,"[They are true silver — enough, melted down, to cast a bullet the curse cannot heal.]"
clues.something-old.name,"Clue name, shown in the journal and on the opportunity",[Something Old Behind It]
clues.something-old.prompt,Opportunity text shown before this clue is taken,"[The parish keeps its papers badly, but it keeps them.]"
clues.something-old.reveal,Journal and event-log text once this clue is revealed,"[The trouble has a long tail: the same field-names, the same families, the same complaint recurring across generations. Something here was set in motion a long time ago — set, or promised.]"
clues.steel-turned-aside.name,"Clue name, shown in the journal and on the opportunity",[Honest Steel Turned Aside]
clues.steel-turned-aside.prompt,Opportunity text shown before this clue is taken,[One of the drovers swung on something in the dark and wants to tell you he is not a coward.]
clues.steel-turned-aside.reveal,Journal and event-log text once this clue is revealed,"['The blade went wide,' he insists, 'and I had it dead straight.' Steel that slides off a working, over and over — that is a ward worn on the body, not a hide and not a shroud.]"
clues.stones-before-the-parish.name,"Clue name, shown in the journal and on the opportunity",[Stones Before the Parish]
clues.stones-before-the-parish.prompt,Opportunity text shown before this clue is taken,"[The standing stones were old when the church was new, and they are still warm to the hand.]"
clues.stones-before-the-parish.reveal,Journal and event-log text once this clue is revealed,[What answers is older than any compact and older than any grudge: a thing laid down before there were parties to agree or betray. It has simply been waiting to be fed again.]
clues.the-audience.name,"Clue name, shown in the journal and on the opportunity",[It Wants an Audience]
clues.the-audience.prompt,Opportunity text shown before this clue is taken,"[Ask them when they hear it, rather than what they hear.]"
clues.the-audience.reveal,Journal and event-log text once this clue is revealed,"[Always at the hour the taproom empties, always near enough the houses to carry. It is timed for the largest number of listeners. Something that wanted quiet work would not perform.]"
clues.the-dead-are-in-it.name,"Clue name, shown in the journal and on the opportunity",[The Dead Are In It]
clues.the-dead-are-in-it.prompt,Opportunity text shown before this clue is taken,[The churchyard has been walked over more than the sexton's work accounts for.]
clues.the-dead-are-in-it.reveal,Journal and event-log text once this clue is revealed,"[Grave-earth trodden and re-trodden, and a plot disturbed at the edges. Something in this valley has business with the dead — whether it is one of them, or only using them, the ground does not say.]"
clues.the-earth-breathes.name,"Clue name, shown in the journal and on the opportunity",[The Earth Breathes]
clues.the-earth-breathes.prompt,Opportunity text shown before this clue is taken,[The gravedigger drinks like a man trying to forget his own trade.]
clues.the-earth-breathes.reveal,Journal and event-log text once this clue is revealed,"[He grips your wrist: 'I saw the earth breathe over {grave}. Rise and fall, like a sleeper.' Nothing living lies in a grave and breathes it.]"
clues.the-long-register.name,"Clue name, shown in the journal and on the opportunity",[The Long Register]
clues.the-long-register.prompt,Opportunity text shown before this clue is taken,"[The registers go back three hundred years, and someone has been careless with the old pages.]"
clues.the-long-register.reveal,Journal and event-log text once this clue is revealed,"[The same affliction, entered in the same words, in three centuries of different hands. This did not begin with anyone now living, and nobody promised it — it was simply laid on, and never lifted.]"
clues.the-pinned-hare.name,"Clue name, shown in the journal and on the opportunity",[The Pinned Hare]
clues.the-pinned-hare.prompt,Opportunity text shown before this clue is taken,"[Something has been left on the trail as a warning, and warnings are instructions read backwards.]"
clues.the-pinned-hare.reveal,Journal and event-log text once this clue is revealed,"[A hare pinned to a stump with a rough black pin — and the pin is unsmelted bog iron. Somebody in this valley already knows what holds a working still, and wanted the fact known.]"
clues.the-stopped-payment.name,"Clue name, shown in the journal and on the opportunity",[The Stopped Payment]
clues.the-stopped-payment.prompt,Opportunity text shown before this clue is taken,"[The manor kept its accounts to the penny, and then, one year, stopped keeping one of them.]"
clues.the-stopped-payment.reveal,Journal and event-log text once this clue is revealed,"[A payment rendered every year without fail for four generations — then a line ruled through it, and nothing after. Not a grudge and not a curse: a compact honoured for centuries, and broken by someone who thought it was only money.]"
clues.the-sworn-vengeance.name,"Clue name, shown in the journal and on the opportunity",[The Sworn Vengeance]
clues.the-sworn-vengeance.prompt,Opportunity text shown before this clue is taken,"[There is old bad blood here, and someone knows who swore what, and before whom.]"
clues.the-sworn-vengeance.reveal,Journal and event-log text once this clue is revealed,"[It spills out at last: a wrong done, and a vow sworn before witnesses to make the valley pay for it. No bargain, no obligation — only a debt of spite, taken up freely.]"
clues.the-unpaid-obligation.name,"Clue name, shown in the journal and on the opportunity",[The Unpaid Obligation]
clues.the-unpaid-obligation.prompt,Opportunity text shown before this clue is taken,"[Something here is owed, and knows the exact figure.]"
clues.the-unpaid-obligation.reveal,Journal and event-log text once this clue is revealed,"[What answers is not spite and not an old malediction. It recites terms: what was promised, what was given, and the year the giving stopped. It is not angry. It is collecting.]"
clues.the-widows-warning.name,"Clue name, shown in the journal and on the opportunity",[The Widow's Warning]
clues.the-widows-warning.prompt,Opportunity text shown before this clue is taken,[One neighbour has stopped taking the short way past a particular door.]
clues.the-widows-warning.reveal,Journal and event-log text once this clue is revealed,"['I'll not walk that side of the row after dark,' she says, and names the house. She is not guessing, and she is not wrong.]"
clues.the-working-room.name,"Clue name, shown in the journal and on the opportunity",[The Working Room]
clues.the-working-room.prompt,Opportunity text shown before this clue is taken,"[Whatever is being kept up in this valley is being kept up somewhere, at regular hours.]"
clues.the-working-room.reveal,Journal and event-log text once this clue is revealed,"[You watch {npc}'s house until the shutter opens: a back room laid out for work, and the same hour kept every night. That is where she will be when it matters.]"
clues.tracks-to-town.name,"Clue name, shown in the journal and on the opportunity",[Tracks to Town]
clues.tracks-to-town.prompt,Opportunity text shown before this clue is taken,"[Pad-marks the size of plates cross the trail here, heading for the settlement.]"
clues.tracks-to-town.reveal,Journal and event-log text once this clue is revealed,"[You follow the pad-marks until, at the field's edge, they become boot-prints — walking calmly toward {npc}'s door. Nothing dead and nothing merely hexed leaves that trail.]"
clues.undisturbed-ground.name,"Clue name, shown in the journal and on the opportunity",[The Undisturbed Ground]
clues.undisturbed-ground.prompt,Opportunity text shown before this clue is taken,"[The sexton's rows can be read like a ledger, if you know that settled earth lies flat.]"
clues.undisturbed-ground.reveal,Journal and event-log text once this clue is revealed,"[Every plot settled, every sod flat, not one pushed up from beneath. Nothing has risen out of this ground — whatever walks here walked in on its own two feet.]"
clues.walked-out-unhurried.name,"Clue name, shown in the journal and on the opportunity",[They Walked Out Unhurried]
clues.walked-out-unhurried.prompt,Opportunity text shown before this clue is taken,"[The empty cottage was left open to the weather, and the bed not slept in.]"
clues.walked-out-unhurried.reveal,Journal and event-log text once this clue is revealed,"[No struggle, no blood, no forced door. One set of prints, unhurried, even-strided, leading away and not coming back. Nobody took them. They were called, and they went.]"
clues.wardens-dust.name,"Clue name, shown in the journal and on the opportunity",[The Warden's Dust]
clues.wardens-dust.prompt,Opportunity text shown before this clue is taken,[Consecrated earth remembers what it holds.]
clues.wardens-dust.reveal,Journal and event-log text once this clue is revealed,"[The oldest grave gives up its handful of dust freely, as if glad to be of use against the thing that mocks all graves.]"
clues.working-toward-something.name,"Clue name, shown in the journal and on the opportunity",[Working Toward Something]
clues.working-toward-something.prompt,Opportunity text shown before this clue is taken,[The air out here has the held-breath quality of a room set for a occasion.]
clues.working-toward-something.reveal,Journal and event-log text once this clue is revealed,"[There is an intention running under all of this — stages, a sequence, an end being worked toward. What the end is, the working does not volunteer.]"
clues.wounds-that-closed.name,"Clue name, shown in the journal and on the opportunity",[The Wounds That Closed]
clues.wounds-that-closed.prompt,Opportunity text shown before this clue is taken,"[Someone got a blow in on the thing, and lived. They will not enjoy remembering it.]"
clues.wounds-that-closed.reveal,Journal and event-log text once this clue is revealed,"['I opened it to the bone,' he says, 'and watched the bone close over.' Flesh that knits itself is the beast's trick, and only the beast's.]"
clues.wrongness-in-the-air.name,"Clue name, shown in the journal and on the opportunity",[A Wrongness in the Air]
clues.wrongness-in-the-air.prompt,Opportunity text shown before this clue is taken,[The old stones sit in a silence that presses on the ears.]
clues.wrongness-in-the-air.reveal,Journal and event-log text once this clue is revealed,"[The vision is only weight and appetite and something walking. Whatever is loose here is old and it is hungry, and that is all the stones will commit to.]"
enemies.bandit.description,"Enemy description, shown when inspecting it",[A road-thief with a short pistol and no scruples. Keeps distance while it can.]
enemies.bandit.name,"Name of an ordinary enemy, shown when you fight or inspect it",Bandit
enemies.restless-dead.description,"Enemy description, shown when inspecting it","[A corpse that did not stay put. Slow, patient, and terribly strong when it closes.]"
enemies.restless-dead.name,"Name of an ordinary enemy, shown when you fight or inspect it",[Restless Dead]
enemies.thrall.description,"Enemy description, shown when inspecting it","[A villager who answered the call and kept walking. Their eyes track you without recognition, and they will not be reasoned with — but they are still, underneath, only a frightened neighbour.]"
enemies.thrall.name,"Name of an ordinary enemy, shown when you fight or inspect it",Thrall
enemies.wolf.description,"Enemy description, shown when inspecting it","[A lean grey wolf, bolder than it should be. It runs straight at what it means to kill.]"
enemies.wolf.name,"Name of an ordinary enemy, shown when you fight or inspect it",Wolf
events.contested-cache.body,"Mission event, logged on arrival","[Under the third stone of the fallen wall, exactly where a careful man would leave it: powder, shot, and a little money nobody living has a claim to.]"
events.frightened-flock.body,"Mission event, logged on arrival","[The flock comes down the lane at a run with no shepherd behind it. Sheep are fools, but they are honest fools, and they are running from something.]"
events.old-signs.body,"Mission event, logged on arrival","[Something has been through here since you last looked, and it was not careful.]"
events.road-agents.body,"Mission event, logged on arrival","[There are strangers on the road who are not strangers to each other, and they have seen you first.]"
events.survivor-gift.body,"Mission event, logged on arrival",[A woman you have never met presses a bottle into your hands and is gone before you can ask her name. The stopper is sealed with the herbwife's wax.]
events.thralls-abroad.body,"Mission event, logged on arrival","[Figures on the ridgeline, walking in step. Nobody in this valley walks in step.]"
events.weather-turns.body,"Mission event, logged on arrival","[The weather turns as you come in — cloud off the tops, and the light gone grey and flat. The valley does nothing kindly by halves.]"
gathers.buy-simples.name,"Name of a gathering opportunity, shown on the map and in the action list",[Buy simples at the market stall]
gathers.buy-simples.prompt,Opportunity text shown before gathering here,[The herb-stall sells remedies to those the seller likes the look of.]
gathers.buy-simples.reveal,Log line once the gathering is done,"[A little talk, a little coin, and the bundle changes hands: moon-herb and bitter-root, fresh-cut.]"
gathers.dig-bog-iron.name,"Name of a gathering opportunity, shown on the map and in the action list",[Dig bog iron from the seep]
gathers.dig-bog-iron.prompt,Opportunity text shown before gathering here,"[The seep runs rust-red where the ground bleeds iron. Bog iron, never smelted — the kind the old women mean.]"
gathers.dig-bog-iron.reveal,Log line once the gathering is done,"[You dig out a double handful of bog iron, heavy and cold and never once near a fire.]"
gathers.dig-cellar-seep.name,"Name of a gathering opportunity, shown on the map and in the action list",[Dig the weeping cellar floor]
gathers.dig-cellar-seep.prompt,Opportunity text shown before gathering here,"[The cellar floor weeps rust where the ground water comes through. The same bog, only with a house sat on top of it.]"
gathers.dig-cellar-seep.reveal,Log line once the gathering is done,"[You break up the wet floor and pick the iron out of it, cold and unsmelted, exactly as the old women said it must be.]"
gathers.draw-chapel-stoup.name,"Name of a gathering opportunity, shown on the map and in the action list",[Fill a flask at the chapel stoup]
gathers.draw-chapel-stoup.prompt,Opportunity text shown before gathering here,"[The family kept a private chapel at the end of the hall, and the stoup by its door has not been emptied.]"
gathers.draw-chapel-stoup.reveal,Log line once the gathering is done,"[The water is stale and the stone is filthy, and the blessing on it is as old as the house. It will serve.]"
gathers.draw-hallowed-water.name,"Name of a gathering opportunity, shown on the map and in the action list",[Draw water from the font]
gathers.draw-hallowed-water.prompt,Opportunity text shown before gathering here,[The font has stood blessed since before the register begins. What was hallowed that long ago answers what was cursed that long ago.]
gathers.draw-hallowed-water.reveal,Log line once the gathering is done,"[You fill a stoppered flask from the font. The priest watches and says nothing, which is its own kind of permission.]"
gathers.draw-the-well.name,"Name of a gathering opportunity, shown on the map and in the action list",[Sound the old well]
gathers.draw-the-well.prompt,Opportunity text shown before gathering here,[Things get thrown down wells. Some of them keep.]
gathers.draw-the-well.reveal,Log line once the gathering is done,"[The bucket comes up with sweet water and a knot of bitter-root, still good.]"
gathers.find-parish-counterpart.name,"Name of a gathering opportunity, shown on the map and in the action list",[Find the parish's half of the seal]
gathers.find-parish-counterpart.prompt,Opportunity text shown before gathering here,[A compact is sealed twice and kept in two places. The parish kept the other copy.]
gathers.find-parish-counterpart.reveal,Log line once the gathering is done,"[Bound into the back of the register: the parish's half of the seal, snapped along the same break. Two halves of one broken promise.]"
gathers.gather-herbs-north.name,"Name of a gathering opportunity, shown on the map and in the action list",[Gather herbs in the clearing]
gathers.gather-herbs-north.prompt,Opportunity text shown before gathering here,[Moon-herb and bitter-root grow thick where the light gets in — for eyes that know them.]
gathers.gather-herbs-north.reveal,Log line once the gathering is done,"[You cut moon-herb and dig bitter-root, wrapping them against the damp.]"
gathers.gather-herbs-south.name,"Name of a gathering opportunity, shown on the map and in the action list",[Gather herbs off the trail]
gathers.gather-herbs-south.prompt,Opportunity text shown before gathering here,"[A second clearing, rich with the same silver-leafed growth.]"
gathers.gather-herbs-south.reveal,Log line once the gathering is done,"[More moon-herb, more bitter-root. The wood provides for those who ask properly.]"
gathers.lift-family-plot-earth.name,"Name of a gathering opportunity, shown on the map and in the action list",[Lift earth from the family plot]
gathers.lift-family-plot-earth.prompt,Opportunity text shown before gathering here,"[The family buried their own out here, including the one nobody in the settlement will name.]"
gathers.lift-family-plot-earth.reveal,Log line once the gathering is done,"[You cut a square of turf from the plot and fold the earth away. Whatever was taken from them, the ground kept the account.]"
gathers.mine-silver.name,"Name of a gathering opportunity, shown on the map and in the action list",[Chip silver from the lode]
gathers.mine-silver.prompt,Opportunity text shown before gathering here,"[Past the fallen rubble, a thread of pale metal glints in the rockface.]"
gathers.mine-silver.reveal,Log line once the gathering is done,[Your knife and patience win a fist of true silver from the lode.]
gathers.recover-covenant-seal.name,"Name of a gathering opportunity, shown on the map and in the action list",[Recover the broken seal]
gathers.recover-covenant-seal.prompt,Opportunity text shown before gathering here,"[The compacts were kept in this room, and one of them was broken rather than ended. Broken things leave halves.]"
gathers.recover-covenant-seal.reveal,Log line once the gathering is done,"[Under the ledgers: half a wax seal, snapped clean, the other half long gone. The promise and the withholding, in one piece of wax.]"
gathers.scavenge-candlesticks.name,"Name of a gathering opportunity, shown on the map and in the action list",[Scavenge the silver candlesticks]
gathers.scavenge-candlesticks.prompt,Opportunity text shown before gathering here,"[The candlesticks are true silver, and the church owes the valley a defence.]"
gathers.scavenge-candlesticks.reveal,Log line once the gathering is done,"[Forgive me. You wrap the cold silver in cloth; the altar keeps its dignity, barely.]"
gathers.search-campsite.name,"Name of a gathering opportunity, shown on the map and in the action list",[Pick over the campsite]
gathers.search-campsite.prompt,Opportunity text shown before gathering here,"[Someone camped in the manor grounds recently, and left in a hurry.]"
gathers.search-campsite.reveal,Log line once the gathering is done,"[A spilled powder horn, a cast ball, a dropped penny. Their hurry is your gain.]"
gathers.search-study.name,"Name of a gathering opportunity, shown on the map and in the action list",[Search the manor study]
gathers.search-study.prompt,Opportunity text shown before gathering here,[The study was abandoned in haste. Drawers hang open; not all were emptied.]
gathers.search-study.reveal,Log line once the gathering is done,[Under a false drawer-bottom: a purse the fleeing family never came back for.]
gathers.sweep-the-crypt.name,"Name of a gathering opportunity, shown on the map and in the action list",[Gather dust from the old niches]
gathers.sweep-the-crypt.prompt,Opportunity text shown before gathering here,"[The oldest niches hold dead long past all grudges. Taken with the proper words, their dust is freely given.]"
gathers.sweep-the-crypt.reveal,Log line once the gathering is done,[You speak the old courtesies and take a handful of consecrated dust. The crypt stays quiet. It approves.]
gathers.take-wronged-earth.name,"Name of a gathering opportunity, shown on the map and in the action list",[Take earth from the wronged plot]
gathers.take-wronged-earth.prompt,Opportunity text shown before gathering here,"[If a wrong was done here, the one it was done to is in this ground, and the ground remembers the debt.]"
gathers.take-wronged-earth.reveal,Log line once the gathering is done,"[The gravedigger walks you to the plot without being told which, and turns his back while you fill a fold of cloth.]"
gen.feature.altar,Name of the church altar landmark,[the altar]
gen.feature.forge,Name of the forge landmark,[the forge]
gen.feature.grave,Name of a villager's grave on the map,[the grave of {deceased}]
gen.force.barred-door.name,Action name for forcing a barred door,[Force the barred door]
gen.force.barred-door.prompt,Prompt shown at a barred door,[The door is barred against something. Muscle would answer it.]
gen.force.barred-door.reveal,Log line after forcing a barred door,[The bar gives way with a crack that echoes.]
gen.force.rubble.name,Action name for clearing rubble blocking a path,[Shift the fallen rubble]
gen.force.rubble.prompt,Prompt shown at rubble blocking a path,[Fallen stone blocks the way. A strong back could move it.]
gen.force.rubble.reveal,Log line after clearing rubble,[You heave the rubble clear. The way is open.]
gen.npc.disproof.name,Name of the opportunity to check parish records against an NPC's claim,[Check the records on {npc}]
gen.npc.disproof.prompt,Prompt for checking the parish records against a rumour,"[If the whispers about {npc} were true, the parish records would show it.]"
gen.npc.disproof.reveal,Log line when the parish records disprove a rumour,"[The record is plain, and the whisper is a lie.]"
gen.npc.expose.name,Name of the opportunity to confront an NPC with what you know,[Confront {npc} with their secret]
gen.npc.favour.name,Action name for asking a mystical NPC for a favour,[Seek a favour of {npc}]
gen.npc.favour.prompt,Prompt for asking a mystical NPC for a favour,[{npc} knows older arts than she sells. The right asking might borrow them.]
gen.npc.gossip.name,Action name for asking around about an NPC,[Ask around about {npc}]
gen.npc.gossip.prompt,Prompt for asking around about an NPC,[Everyone is tangled with everyone here. {npc} too.]
gen.npc.spy.name,Action name for watching an NPC covertly,[Watch {npc} quietly]
gen.npc.spy.prompt,Prompt for watching an NPC covertly,[{npc} keeps something close. Patience would show it.]
gen.npc.spy.reveal,Log line after watching an NPC and learning their secret,[You learn what {npc} hides.]
gen.villain.revenant-title,How the revenant is named before its grave is proven,[the revenant of {name}]
gen.villain.werewolf-title,How the werewolf is named before its host is proven,[the beast wearing {npc}'s face]
grimoire.entries.ancient-curse.body,Grimoire entry body text,"[Some evils are inherited like debts. Where the trouble is old, its signs are old: parish records, weathered stones, dreams that repeat in different sleepers. Ask the church and the graves before you ask the living.]"
grimoire.entries.ancient-curse.title,Grimoire entry title,[Of Ancient Curses]
grimoire.entries.bandit.body,Grimoire entry body text,"[Desperate men with pistols and poor judgement. They keep their distance and shoot while they can; close with them, or answer in kind. Ask who pays them, for someone always does.]"
grimoire.entries.bandit.title,Grimoire entry title,[Of Bandits]
grimoire.entries.binding-charm.body,Grimoire entry body text,"[Grave-dust freely given, moon-herb picked by night, sewn tight in a caul. Pressed close to the risen dead it strips their shroud of shadow for five long breaths — long enough, for a hunter who has kept her steel ready.]"
grimoire.entries.binding-charm.title,Grimoire entry title,[Of Binding Charms]
grimoire.entries.bitter-betrayal.body,Grimoire entry body text,"[Some evils are minted fresh from a wrong done between the living. Where the trouble is new, its signs walk about the settlement: grudges nursed, names not spoken, blood not yet dry. Ask the living, and watch their eyes.]"
grimoire.entries.bitter-betrayal.title,Grimoire entry title,[Of Bitter Betrayals]
grimoire.entries.broken-covenant.body,Grimoire entry body text,"[The hardest kind to read, because it wears the other two like borrowed coats. An obligation kept faithfully for generations — a payment, a rite, a door left unlocked one night a year — and then, within living memory, somebody decided it was superstition and stopped. It looks like an ancient curse, because the compact is genuinely old. It looks like a bitter betrayal, because a person alive today did the breaking. What tells you the truth is the *terms*: a curse rages, a grudge accuses, but a broken covenant simply presents the account and waits. Find the ledger, find the year the line was ruled through, and you have it. What answers it is the compact's own seal.]"
grimoire.entries.broken-covenant.title,Grimoire entry title,[Of Broken Covenants]
grimoire.entries.cold-iron-pin.body,Grimoire entry body text,"[Iron dug from the bog and beaten cold, never once shown the fire. Every working needs purchase, some edge or surface to take hold of, and unsmelted iron offers none — a hex slides off it the way water slides off wax. Against a warded thing it is not a better blade, it is the only blade. Draw the pin at the forge like any other work, but keep it cold, and quench it in what the evil's beginning demands.]"
grimoire.entries.cold-iron-pin.title,Grimoire entry title,[Of Cold Iron]
grimoire.entries.consecration.body,Grimoire entry body text,"[A church may be made proof against the risen dead: a rite of one evening, if the altar is willing. On warded ground a revenant's shroud cannot close and the very floor scalds it. Against a living curse like the beast, the rite is so much candle-smoke. Choose the ground of your last stand as carefully as your weapon.]"
grimoire.entries.consecration.title,Grimoire entry title,[Of Consecrated Ground]
grimoire.entries.hidden-design.body,Grimoire entry body text,"[Some monsters kill only as a mason chips stone: in service of a work. Watch for hired men guarding nothing worth stealing, and desecrations that look like errands. Each stage the design completes, its author grows greater.]"
grimoire.entries.hidden-design.title,Grimoire entry title,[Of Hidden Designs]
